"","name","state","pop2017","pop2010","growth","area","density","lat","lon"
"1","New York","New York",8622698,8175133,5.47,780.9,10933,40.6635,73.9387
"2","Los Angeles","California",3999759,3792621,5.46,1213.9,3276,34.0194,118.4108
"3","Chicago","Illinois",2716450,2695598,0.77,588.7,4600,41.8376,87.6818
"4","Houston","Texas",2312717,2100263,10.12,1651.1,1395,29.7866,95.3909
"5","Phoenix","Arizona",1626078,1445632,12.48,1340.6,1200,33.5722,112.0901
"6","Philadelphia","Pennsylvania",1580863,1526006,3.59,347.6,4511,40.0094,75.1333
"7","San Antonio","Texas",1511946,1327407,13.9,1194,1250,29.4724,98.5251
"8","San Diego","California",1419516,1307402,8.58,842.3,1670,32.8153,117.135
"9","Dallas","Texas",1341075,1197816,11.96,882.9,1493,32.7933,96.7665
"10","San Jose","California",1035317,945942,9.45,459.7,2231,37.2967,121.8189
"11","Austin","Texas",950715,790390,20.28,809.9,1170,30.3039,97.7544
"12","Jacksonville","Florida",892062,821784,8.55,1935.8,455,30.3369,81.6616
"13","San Francisco","California",884363,805235,9.83,121.5,7170,37.7272,123.0322
"14","Columbus","Ohio",879170,787033,11.71,565.9,1520,39.9852,82.9848
"15","Fort Worth","Texas",874168,741206,17.94,888.1,962,32.7815,97.3467
"16","Indianapolis","Indiana",863002,820445,5.19,936.3,914,39.7767,86.1459
"17","Charlotte","North Carolina",859035,731424,17.45,791,1064,35.2078,80.831
"18","Seattle","Washington",724745,608660,19.07,217,3245,47.6205,122.3509
"19","Denver","Colorado",704621,600158,17.41,397,1746,39.7619,104.8811
"20","Washington","District of Columbia",693972,601723,15.33,158.2,4304,38.9041,77.0172
"21","Boston","Massachusetts",685094,617594,10.93,125.1,5381,42.332,71.0202
"22","El Paso","Texas",683577,649121,5.31,665.1,1030,31.8484,106.427
"23","Detroit","Michigan",673104,713777,-5.7,359.5,1871,42.383,83.1022
"24","Nashville","Tennessee",667560,601222,11.03,1232.6,536,36.1718,86.785
"25","Memphis","Tennessee",652236,646889,0.83,822.1,794,35.1028,89.9774
"26","Portland","Oregon",647805,583776,10.97,345.8,1851,45.537,122.65
"27","Oklahoma City","Oklahoma",643648,579999,10.97,1570.3,407,35.4671,97.5137
"28","Las Vegas","Nevada",641676,583756,9.92,348.1,1818,36.2292,115.2601
"29","Louisville","Kentucky",621349,597337,4.02,682.5,903,38.1654,85.6474
"30","Baltimore","Maryland",611648,620961,-1.5,209.5,2934,39.3,76.6105
"31","Milwaukee","Wisconsin",595351,594833,0.09,249.2,2388,43.0633,87.9667
"32","Albuquerque","New Mexico",558545,545852,2.33,487.4,1147,35.1056,106.6474
"33","Tucson","Arizona",535677,520116,2.99,597.8,888,32.1531,110.8706
"34","Fresno","California",527438,494665,6.63,296.3,1762,36.7836,119.7934
"35","Sacramento","California",501901,466488,7.59,253.6,1953,38.5666,121.4686
"36","Mesa","Arizona",496401,439041,13.06,357.2,1357,33.4019,111.7174
"37","Kansas City","Missouri",488943,459787,6.34,815.8,590,39.1251,94.551
"38","Atlanta","Georgia",486290,420003,15.78,345.8,1366,33.7629,84.4227
"39","Long Beach","California",469450,462257,1.56,130.3,3609,33.8092,118.1553
"40","Omaha","Nebraska",466893,408958,14.17,345,1296,41.2644,96.0451
"41","Raleigh","North Carolina",464758,403892,15.07,375.8,1221,35.8306,78.6418
